individualID,plotID,siteID,taxonID,plntStt,ntrgnPr,crbnPrc,CNratio,extrCAC,extrCBC,extrcCC,lgnnPrc,clllsPr,lfMssPA,dryMssF,geometry,elevation,stemDiameter,height
NIWO.01515,NIWO_007,NIWO,PICOL,OK,1.08,52.3,58.7,29.909,10.937,5.513,20.81,16.44,248.713551,0.465863454,"list(c(-105.562110715625, -105.562122745253, -105.562122745253, -105.562134689053, -105.562140634804, -105.562145547055, -105.562151603668, -105.562150530387, -105.562145480011, -105.562142025925, -105.562135262135, -105.562129368683, -105.562124816277, -105.562117575521, -105.562114004315, -105.562111728112, -105.562109190406, -105.562107529298, -105.562105972791, -105.562108085833, -105.562110715625, 40.0376533491487, 40.0376464765198, 40.0376464765198, 40.0376495638293, 40.0376509315356, 40.0376523704734, 
40.0376579965486, 40.0376648250387, 40.0376729941442, 40.0376778537208, 40.0376815194079, 40.0376805035976, 40.0376779733551, 40.037674917399, 40.0376719640284, 40.037670698907, 40.0376676743047, 40.0376635227825, 40.0376600750525, 40.0376567299085, 40.0376533491487))",3171.29,19.2,11.2
NIWO.01726,NIWO_011,NIWO,PICOL,OK,1.25,52.6,49.7,20.525,7.553,4.121,17.44,17.84,293.958521,0.476608187,"list(c(-105.555378179927, -105.555380134479, -105.555381708032, -105.555381610794, -105.555380146186, -105.555377477521, -105.555372971406, -105.555369242135, -105.555365453478, -105.555362705563, -105.555360030209, -105.555358073986, -105.555357160176, -105.555358773253, -105.555360943817, -105.555362923046, -105.555365301464, -105.555366828804, -105.555378179927, 40.0339520184647, 40.0339531967532, 40.0339548052577, 40.0339581447372, 40.0339602654844, 40.0339622671778, 40.0339628805301, 40.033962733421, 
40.0339621864287, 40.0339606588116, 40.0339586212297, 40.0339564331222, 40.0339542742088, 40.0339531531696, 40.033951791745, 40.0339501405191, 40.0339501786854, 40.033950477459, 40.0339520184647))",3124.41,26.6,8.5
NIWO.01162,NIWO_016,NIWO,PICOL,OK,1.21,52.2,51.1,37.299,13.853,7.263,14.79,16.13,305.778153,0.455974843,"list(c(-105.542510956377, -105.542517019187, -105.542518229349, -105.542515067302, -105.542508259823, -105.542502888013, -105.542495956009, -105.542490284659, -105.542483937023, -105.542478850041, -105.542477197929, -105.542478657374, -105.542484405933, -105.542490685422, -105.542497086491, -105.542504048151, -105.542510956377, 40.0483438209314, 40.0483526949338, 40.0483568532252, 40.0483635339302, 40.0483676376502, 40.0483694208972, 40.0483686857376, 40.0483664500476, 40.048363654934, 40.0483593592903, 
40.0483542215069, 40.048348061841, 40.0483428190816, 40.048339155625, 40.0483383114819, 40.0483392465786, 40.0483438209314))",3109.97,22,9
NIWO.01161,NIWO_016,NIWO,PIFL2,OK,1.14,51,53.7,34.279,11.572,8.134,16.96,18.23,305.963303,0.451285521,"list(c(-105.542532420287, -105.542538106351, -105.542537880847, -105.542531758492, -105.54252829985, -105.542522248813, -105.542517253752, -105.542511380672, -105.542505388954, -105.542495751808, -105.542491548731, -105.542490925879, -105.542493269226, -105.54249385065, -105.542495342694, -105.54249918397, -105.542500527716, -105.542500839259, -105.54250332796, -105.542508729424, -105.542517399568, -105.542523394225, -105.542528596901, -105.542532420287, 40.0483005357011, 40.0483128692165, 40.048319347981, 
40.0483300698215, 40.0483347511558, 40.0483339554152, 40.0483322791494, 40.048332683031, 40.0483322871638, 40.0483293143111, 40.0483269776508, 40.048322778971, 40.0483185782881, 40.0483144987692, 40.0483105586053, 40.0483064568891, 40.0483015170395, 40.0482936185209, 40.0482883979578, 40.0482868146478, 40.0482912678361, 40.0482936832682, 40.0482967590938, 40.0483005357011))",3109.97,31.6,8.7
NIWO.00581,NIWO_042,NIWO,ABLAL,OK,1.47,52.2,40.9,27.188,9.797,6.481,14.86,11.37,251.379829,0.50708502,"list(c(-105.584454331613, -105.584421883805, -105.584421096241, -105.58444760354, -105.58447106181, -105.584454331613, 40.0485339081536, 40.0485372173987, 40.0485319317863, 40.0485098088251, 40.0485145965194, 40.0485339081536))",3412.47,8.7,NA
NIWO.00579,NIWO_042,NIWO,PIEN,OK,1.14,50.8,53.1,27.621,9.17,6.559,15.59,15,290.288154,0.491862568,"list(c(-105.584387861012, -105.584349292727, -105.584337569232, -105.584350496613, -105.584385745845, -105.584387861012, 40.0484194171682, 40.0484290231665, 40.0484292989268, 40.0484107839733, 40.0484104852474, 40.0484194171682))",3412.47,1.4,NA
NIWO.00283,NIWO_067,NIWO,ABLAL,OK,1.38,51,42.9,38.775,13.43,8.123,17.25,13.82,273.467433,0.510733453,"list(c(-105.584953412837, -105.584957966985, -105.58496087328, -105.584957577573, -105.584952828717, -105.584948694048, -105.584942282305, -105.584939166271, -105.584940499516, -105.584940903963, -105.584944724021, -105.584948753819, -105.584953412837, 40.0497024144385, 40.0497049439021, 40.0497104312306, 40.0497163469602, 40.0497195190255, 40.0497198046262, 40.0497188254947, 40.0497119306338, 40.0497068614708, 40.049702567474, 40.0497001705752, 40.0496991812086, 40.0497024144385))",3440.84,12.2,NA
NIWO.00275,NIWO_067,NIWO,PIEN,OK,0.99,50.8,62.3,22.896,7.367,5.798,15.18,15.57,377.747253,0.530888031,"list(c(-105.585151804598, -105.585127434594, -105.58511374178, -105.585116498135, -105.585141014348, -105.585158408672, -105.585170852575, -105.585151804598, 40.0497494996831, 40.0497543870674, 40.0497414488955, 40.0497231024794, 40.0497139329919, 40.0497148674629, 40.0497246878976, 40.0497494996831))",3446.02,14,NA
SCBI.00011,SCBI_002,SCBI,FRAM2,Insect damaged,2.12,47.24,22.31,11.022,3.296,2.822,15.53,23.03,95.249253,0.446498856,"list(c(-78.1427859090856, -78.1427638270993, -78.1427486261526, -78.142749045179, -78.1427407252778, -78.1427446061018, -78.1427772526617, -78.1427889544242, -78.1427859090856, 38.895310336182, 38.8953154505683, 38.8953105697117, 38.8953060333347, 38.8952911572373, 38.8952710074911, 38.8952695866309, 38.8952872060263, 38.895310336182))",321.88,70.9,32.2
SCBI.00003,SCBI_002,SCBI,JUNI,OK,2.83,47.205,16.68,12.446,4.154,4.03,16.39,17.43,81.382914,0.386234152,"list(c(-78.1426012531563, -78.1425831268075, -78.1425753781282, -78.1425851846123, -78.142608785371, -78.14261847449, -78.1426240210676, -78.1426178607205, -78.1426012531563, 38.895262948389, 38.8952536626608, 38.8952336963259, 38.8952281059472, 38.8952295062587, 38.8952393977201, 38.895249315124, 38.8952657194457, 38.895262948389))",326.38,51.5,28.5
